label,brier,brier_baseline,Espec_at_Sens95,Sens_at_Espec95,thr_Sens95_val,thr_Espec95_val,prevalence_test
cardiomegaly,0.18228974723563846,0.08333569002157334,0.6391400682671782,0.5411973918197984,0.31761208176612854,0.9374346733093262,0.09175459588817579
aortic elongation,0.13211119466205584,0.06784848251384853,0.5617957746475576,0.36701337295690933,0.08522247523069382,0.8562331795692444,0.0732078755574894
unchanged,0.4314654989730203,0.0674304109503813,0.08897882573752772,0.09573672400897532,0.5560526251792908,0.7992610335350037,0.07271837267486131
scoliosis,0.42260907503904765,0.05346166402060866,0.23967942804414225,0.3502879078694818,0.3897208273410797,0.9632684588432312,0.056673555966496245
costophrenic angle blunting,0.41494181461376545,0.03501197810956504,0.14651766565066796,0.3008982035928144,0.22887496650218964,0.9449926614761353,0.036331991732840206
air trapping,0.42336454804417556,0.035616797001781386,0.16949056816888652,0.21323529411764705,0.10913324356079102,0.9803712964057922,0.03698466224301099
pleural effusion,0.11785236377795143,0.033192409687377834,0.3934324659229506,0.7056962025316456,0.051922909915447235,0.8221099972724915,0.03437398020232786
interstitial pattern,0.25338023054826975,0.032076676561720203,0.19430693069295998,0.3770491803278688,0.06483183801174164,0.9353470802307129,0.03317741760034809
vertebral degenerative changes,0.20256555837913784,0.03039770776550705,0.2429670391373783,0.2339688041594454,0.04842190816998482,0.9181997776031494,0.03138257369737844
laminar atelectasis,0.19402684088005848,0.028968075599024694,0.11734035992593074,0.2750455373406193,0.02599164843559265,0.8996619582176208,0.029859675840313283
Macro,0.2774606872153121,0.0467339892231388,0.279364912619518,0.34601286187252056,,,0.04964647014032416
